Type_Short_Name,Description,Display_Name,Change_0_1,Short_Display_Name
Questionnaire_JobDescription_5.0,,Job description (Self-employed),,Job description (Self-employed)
Laboratory_MeanCellHemoglobin,Mean cell hemoglobin (pg),Mean cell hemoglobin (pg),,Mean cell hemoglobin
Examination_BPDiastolic1,Diastolic: Blood pres (1st rdg) mm Hg,Diastolic: Blood pres (1st rdg) mm Hg,,Diastolic: Blood pres (1st rdg)
Questionnaire_SelfReportedWeight10YrAgo,Self-reported weight-10 yrs ago (pounds),Self-reported weight-10 yrs ago (pounds),,Self-reported weight-10 yrs ago
Laboratory_AspartateAminotransferaseAST,Aspartate aminotransferase AST (IU/L),Aspartate aminotransferase AST (IU/L),,Aspartate aminotransferase AST
Questionnaire_Alcohol_2.0,,"Had alcohol since today or yesterday (0-No, 1-Yes)",1,Had alcohol since today or yesterday
Questionnaire_DoctorCancer_2.0,,"Cancer (0-No, 1-Yes)",1,Cancer
Questionnaire_GumMintsLozengeCoughDrop_2.0,,"Had gum, breath mints, lozenges or cough drops since today or yesterday (0-No, 1-Yes)",1,"Had gum, breath mints, lozenges or cough drops since today or yesterday"
Questionnaire_LastCholesterolCheck,When blood cholesterol last checked,When blood cholesterol last checked,,When blood cholesterol last checked
Questionnaire_ExamSession_2.0,,Session in which SP was examined (evening),,Session in which SP was examined (evening)
Laboratory_Eosinophils,Eosinophils number (1000 cells/uL),Eosinophils number (1000 cells/uL),,Eosinophils number
Laboratory_HepD_2.0,,Hepatitis D (anti-HDV),1,Hepatitis D (anti-HDV)
Laboratory_SegmentedNeutrophils,Segmented neutrophils num (1000 cell/uL),Segmented neutrophils num (1000 cell/uL),,Segmented neutrophils num
Laboratory_AlanineAminotransferaseALT,Alanine aminotransferase ALT (IU/L),Alanine aminotransferase ALT (IU/L),,Alanine aminotransferase ALT
Demographics_RaceEthnicity_2.0,,Race (Other Hispanic),,Race (Other Hispanic)
Laboratory_HepB_2.0,,"Hepatitis B surface antigen (0-Negative, 1-Positive)",1,Hepatitis B surface antigen
Demographics_HouseholdSize,Total number of people in the Household,Total number of people in the Household,,Total number of people in the Household
Questionnaire_HomeOwnBoughtRent_2.0,,Home rented,,Home rented
Questionnaire_DoctorCongestiveHeartFailure_2.0,,"Congestive heart failure (0-No, 1-Yes)",1,Congestive heart failure
Laboratory_TotalBilirubin,Total bilirubin (umol/L),Total bilirubin (umol/L),,Total bilirubin
Questionnaire_BloodTransfusion_2.0,,"Receive blood transfusion (0-No, 1-Yes)",1,Receive blood transfusion
Questionnaire_DoctorCoronaryHeartDisease_2.0,,"Coronary heart disease (0-No, 1-Yes)",1,Coronary heart disease
Questionnaire_ConsiderWeight_3.0,,How do you consider your weight (About the right weight),,How do you consider your weight (About the right weight)
Laboratory_EosinophilsPercent,Eosinophils percent (%),Eosinophils percent (%),,Eosinophils percent
